complexity,loss,equation,score,sympy_format,lambda_format
1,3.654262,0.3793393,0.0,0.379339300000000,PySRFunction(X=>0.379339300000000)
2,3.113443,rh,0.16016496983778608,rh,PySRFunction(X=>rh)
4,2.766499,rh * 1.940877,0.05907328295162909,rh*1.940877,PySRFunction(X=>rh*1.940877)
6,2.4890845,cube(rh - -0.22440296),0.05283382485097796,(rh - 1*(-0.22440296))**3,PySRFunction(X=>(rh - 1*(-0.22440296))**3)
8,2.3852515,cube(rh + 0.3295128) - lf,0.02130520133596427,-lf + (rh + 0.3295128)**3,PySRFunction(X=>-lf + (rh + 0.3295128)**3)
10,2.3486269,(cube(rh * 1.7399731) - lhf) * 0.33433172,0.0077368549996584485,(-lhf + 5.26777967645723*rh**3)*0.33433172,PySRFunction(X=>(-lhf + 5.26777967645723*rh**3)*0.33433172)
12,2.3137245,cube((rh * 1.2362244) - ((lf + lhf) * 0.054764107)),0.0074861478700282815,(rh*1.2362244 - 0.054764107*(lf + lhf))**3,PySRFunction(X=>(rh*1.2362244 - 0.054764107*(lf + lhf))**3)
13,2.3061836,((thetae + cube(rh * 1.5037307)) * 0.5094209) - lf,0.0032645267108371984,-lf + (3.40024490847554*rh**3 + thetae)*0.5094209,PySRFunction(X=>-lf + (3.40024490847554*rh**3 + thetae)*0.5094209)
14,2.1839912,(cube(rh) - ((lf + -0.862054) * (0.41272533 - shf))) * 1.5810502,0.054440008493797085,(rh**3 - (0.41272533 - shf)*(lf - 0.862054))*1.5810502,PySRFunction(X=>(rh**3 - (0.41272533 - shf)*(lf - 0.862054))*1.5810502)
16,2.1739,(cube(rh) - (((lf - -0.3708833) - shf) * (lf + -0.75352997))) * 1.6901051,0.002315619544757612,(rh**3 - (lf - 0.75352997)*(lf - shf - 1*(-0.3708833)))*1.6901051,PySRFunction(X=>(rh**3 - (lf - 0.75352997)*(lf - shf - 1*(-0.3708833)))*1.6901051)
17,2.1373901,(cube(rh) - ((lf + -1.1563264) * (0.26345372 - sin(shf)))) * 1.5641402,0.016937284178703393,(rh**3 - (0.26345372 - sin(shf))*(lf - 1.1563264))*1.5641402,PySRFunction(X=>(rh**3 - (0.26345372 - sin(shf))*(lf - 1.1563264))*1.5641402)
18,2.107675,cube(rh * 1.1410638) - ((sqrt(lf) + -0.8638783) * (0.5878944 - (shf * 2.6594315))),0.014000061082353361,1.48569541495678*rh**3 - (0.5878944 - 2.6594315*shf)*(sqrt(lf) - 0.8638783),PySRFunction(X=>1.48569541495678*rh**3 - (0.5878944 - 2.6594315*shf)*(sqrt(lf) - 0.8638783))
19,2.079995,cube(rh * 1.1503156) - (sin(0.18827203 - shf) * ((lf + -0.9345625) * 2.975757)),0.013219954355756215,1.52212748666303*rh**3 - 2.975757*(lf - 0.9345625)*sin(0.18827203 - shf),PySRFunction(X=>1.52212748666303*rh**3 - 2.975757*(lf - 0.9345625)*sin(0.18827203 - shf))
21,2.0579317,((cube(rh * 1.1629301) + thetae) - ((lf + -0.69958687) * (1.3424554 - (shf * 2.5530367)))) - 1.3337739,0.005332020281891689,1.57275413032765*rh**3 + thetae - (1.3424554 - 2.5530367*shf)*(lf - 0.69958687) - 1*1.3337739,PySRFunction(X=>1.57275413032765*rh**3 + thetae - (1.3424554 - 2.5530367*shf)*(lf - 0.69958687) - 1*1.3337739)
22,2.057705,(cube(rh * 1.1629301) + (abs(thetae) - ((lf + -0.69958687) * (1.3424554 - (shf * 2.5530367))))) - 1.3337739,0.000110165214645652,1.57275413032765*rh**3 - (1.3424554 - 2.5530367*shf)*(lf - 0.69958687) + Abs(thetae) - 1*1.3337739,PySRFunction(X=>1.57275413032765*rh**3 - (1.3424554 - 2.5530367*shf)*(lf - 0.69958687) + Abs(thetae) - 1*1.3337739)
23,2.0154653,thetae + ((cube(rh * 1.1270115) - ((0.35008585 - shf) * ((sqrt(lf) + -0.8337836) * 2.746257))) - 1.1309958),0.020741197230448278,1.43147920289764*rh**3 + thetae - (0.35008585 - shf)*(2.746257*sqrt(lf) - 2.2897840479852) - 1.1309958,PySRFunction(X=>1.43147920289764*rh**3 + thetae - (0.35008585 - shf)*(2.746257*sqrt(lf) - 2.2897840479852) - 1.1309958)
24,1.9904271,thetae + ((cube(rh * 1.1378843) - (((1.3223968 - exp(shf)) * (lf + -0.9457797)) * 3.0321252)) + -1.2346294),0.012500848031573175,1.47331060792753*rh**3 + thetae - 3.0321252*(1.3223968 - exp(shf))*(lf - 0.9457797) - 1.2346294,PySRFunction(X=>1.47331060792753*rh**3 + thetae - 3.0321252*(1.3223968 - exp(shf))*(lf - 0.9457797) - 1.2346294)
25,1.9901055,(abs(thetae) + (cube(rh * 1.1378843) - ((1.3223968 - exp(shf)) * ((lf + -0.9457797) * 3.0321252)))) + -1.2346294,0.00016158641720437526,1.47331060792753*rh**3 - 3.0321252*(1.3223968 - exp(shf))*(lf - 0.9457797) + Abs(thetae) - 1.2346294,PySRFunction(X=>1.47331060792753*rh**3 - 3.0321252*(1.3223968 - exp(shf))*(lf - 0.9457797) + Abs(thetae) - 1.2346294)
26,1.9813514,((thetae + cube(rh * 1.1378843)) + -1.2346294) - ((1.3223968 - exp(shf)) * ((sqrt(lf) + -0.95443976) * 3.0321252)),0.004408515261991053,1.47331060792753*rh**3 + thetae - (1.3223968 - exp(shf))*(3.0321252*sqrt(lf) - 2.89398084817795) - 1.2346294,PySRFunction(X=>1.47331060792753*rh**3 + thetae - (1.3223968 - exp(shf))*(3.0321252*sqrt(lf) - 2.89398084817795) - 1.2346294)
