complexity,loss,equation,score
1,0.9982127,0.6406224,0.0
2,0.84692323,rh,0.16435632685584556
4,0.67114055,rh * 1.9536538,0.11631573723767472
6,0.63580656,exp(rh) + -0.65233713,0.027042106195576916
8,0.61420965,exp((rh * 1.5693995) + -0.8845295),0.01727902337776095
9,0.5626493,cube((0.8598835 * thetae) - thetaestar),0.08767979829537394
11,0.4948928,cube((thetae + -0.19014382) - (thetaestar * 1.4523202)),0.06415767381207725
13,0.48596877,cube((thetae + -0.37789732) - (thetaestar * 1.446115)) * 1.7447684,0.009098405440938382
14,0.46878874,"cube(max(rh, thetae + (-0.20754611 - (thetaestar * 1.4710909))))",0.035992143373503344
16,0.4402717,"cube(max(thetae + (-0.37473023 - (thetaestar * 1.4777247)), rh)) * 1.5697407",0.03138009143269271
18,0.43632656,cube(rh) + ((4.276393 - lf) * (((thetae + -0.9095803) * 0.7329781) - thetaestar)),0.0045005412582788335
19,0.43472457,(((thetae * 0.69770896) + (-0.62637144 - thetaestar)) * (3.9603589 - lhf)) + cube(rh),0.0036782956844898253
20,0.42892596,"max((4.732754 - lf) * ((thetae * 0.72565275) + (-0.68264204 - thetaestar)), 0.15838663) + cube(rh)",0.013428341516075238
21,0.423736,"((4.067138 - max(lf, shf)) * (((thetae * 0.74981475) - thetaestar) + -0.6354075)) + cube(rh)",0.012173696819709092
23,0.40229976,"(((2.5916028 - max(lf, shf)) * ((thetae - thetaestar) + 0.72069204)) + (lf + cube(rh))) + -2.9460926",0.025956568707479363
25,0.38696113,"((3.6536393 - max(lf, shf)) * (((thetae * 0.7730584) - thetaestar) + 0.8469939)) + ((cube(rh) + lf) + -4.679977)",0.019436616838453193
27,0.38277364,"((3.7791038 - max(lf, shf)) * (((thetae * 0.780348) - thetaestar) + 0.81442857)) + ((cube(max(rh, 0.52311796)) + lf) + -4.8895273)",0.005440226262598715
