complexity,loss,equation,score
1,0.9714466,0.6193144,0.0
2,0.8162056,rh,0.17412001674856822
4,0.64868647,rh * 1.9490476,0.11485839055447437
6,0.61531615,exp(rh) + -0.6531495,0.026406651070841985
7,0.5927709,4.8216786 ^ (rh + -0.5642562),0.037328217052857084
9,0.5551665,cube((thetae * 0.8583872) - thetaestar),0.032769957476355444
11,0.49393007,cube((thetaestar * -1.4487538) + (thetae - 0.18762966)),0.05843706014617127
13,0.48578128,cube(((thetaestar * -1.4498335) + (thetae - 0.37471634)) * 1.2016548),0.00831773350688631
14,0.47355688,(rh + 2.8190114) * (((thetaestar * -1.4401333) + -0.85624206) + thetae),0.025486449321875555
15,0.4697052,"cube(max(rh, ((thetaestar * -1.4631631) + thetae) - 0.2041027))",0.008166768259457587
16,0.45239836,cube(((thetaestar * -1.48529) + thetae) - 0.30324137) + cube(rh),0.03754214474311124
17,0.44141215,"cube(max(thetae + ((thetaestar * -1.4666026) - 0.37535733), rh) * 1.1708181)",0.02458409962760559
19,0.44052383,"cube(max((thetaestar * -1.4728453) + (thetae - 0.41942033), rh + -0.06285588)) * 1.8388443",0.0010072389839557267
20,0.43316486,"cube(max((thetae - 0.27883154) + (thetaestar * -1.4900471), rh) + (rh * 0.1330848))",0.01684614695955527
22,0.43269196,"cube((rh * 0.1434918) + max((thetae - 0.29385146) + (thetaestar * -1.5061784), rh)) - -0.025299069",0.0005461642572975386
23,0.43240416,"cube(max((thetae - 0.28690362) + (thetaestar * -1.4946815), rh) + (max(rh, -0.4052615) * 0.14269891))",0.0006653596148772344
24,0.43164912,"cube(max((thetae - 0.28690362) + (thetaestar * -1.4946815), rh) + (max(rh, thetaestar) * 0.14269891))",0.0017476704496273419
26,0.43147808,"cube(max((thetae - 0.2987842) + (thetaestar * -1.6527889), rh) + ((thetaestar + max(rh, -0.25894564)) * 0.15337884))",0.0001981631470296023
27,0.43062052,"cube(max((thetae - 0.29365617) + (thetaestar * -1.6577872), rh) + ((thetaestar + max(rh, thetaestar)) * 0.1511818))",0.001989471466144536
29,0.43055645,"cube(max((thetae - 0.2987842) + (thetaestar * -1.6527889), rh) + ((thetaestar * 0.14474526) + (max(rh, thetaestar) * 0.15337884)))",7.439818103615089e-05
