complexity,loss,equation,score
1,0.98383904,0.6276491,0.0
2,0.81709343,rh,0.18570886070943177
4,0.6449001,rh * 1.9407266,0.11832901232385702
6,0.6130895,exp(rh) + -0.6708264,0.0252922462688525
7,0.5911029,4.926645 ^ (rh - 0.57444525),0.03652081461586856
9,0.5552767,cube((thetae * 0.86141354) - thetaestar),0.031261782929789886
11,0.496377,cube(((thetaestar * -1.437292) + thetae) + -0.1844769),0.05606541470544148
13,0.48833716,cube(((thetae * 0.69319725) - thetaestar) - 0.25960886) * 5.205105,0.008164824862627009
14,0.46875805,cube((thetae * 0.7703781) - thetaestar) + cube(rh),0.04091931845933581
15,0.45541644,"(max((thetae * 0.7171306) - thetaestar, rh) * 5.375577) + -3.5958183",0.0288744973606964
16,0.45297766,cube(thetae + ((thetaestar * -1.4842916) - 0.30747885)) + cube(rh),0.005369444516110416
17,0.43801957,"cube(max(((thetaestar * -1.4572355) + thetae) - 0.36967838, rh)) * 1.575906",0.0335792188500819
19,0.43690237,"cube(max(((thetaestar * -1.4581957) + thetae) - 0.34521908, rh) + -0.0638127) * 1.8080026",0.0012769146093218895
20,0.43050578,"cube((rh * 0.13610443) + max(rh, ((thetaestar * -1.4874134) + thetae) - 0.27997607))",0.014749010498758996
22,0.43013716,"cube(max(rh, (thetaestar * -1.4931252) + (thetae - 0.28826684)) + (rh * 0.13099529)) + 0.023882821",0.00042830772833715556
23,0.4296484,"cube((max(-0.28916052, rh) * 0.1423178) + max(rh, ((thetaestar * -1.4858012) + thetae) - 0.28652993))",0.0011369347785940844
24,0.42894244,"cube((max(thetaestar, rh) * 0.14590049) + max(rh, (thetaestar * -1.4995613) + (thetae - 0.29339704)))",0.00164446235902399
26,0.42881006,"cube((max(thetaestar + 0.10587022, rh) * 0.14590049) + max(rh, ((thetaestar * -1.4995613) + thetae) - 0.29339704))",0.00015433356481156879
27,0.42833644,"cube((((thetaestar + exp(rh)) + -1.2030011) * 0.090339676) + max(rh, ((thetaestar * -1.5823828) + thetae) - 0.275077))",0.0011051087490908452
29,0.4281003,"cube(((thetaestar + (exp(rh) + -1.3188635)) * 0.08538071) + max(rh, ((thetaestar * -1.5524638) + (thetae - 0.16454753)) - 0.085201435))",0.0002757238158466354
