complexity,loss,equation,score
1,0.8163223,0.5451895,0.0
2,0.32194614,sr_atm,0.9304249879990528
4,0.3151256,sr_atm * 1.1016707,0.010706487480173337
5,0.27672362,sr_atm + shf,0.1299520431537173
7,0.25484407,(shf + 1.0818088) * sr_atm,0.041183689216467104
9,0.25304353,sr_atm * abs(shf + 1.0716647),0.0035451693311498106
10,0.25193125,"(shf + 1.0697359) * max(sr_atm, 0.085400514)",0.0044052964340143075
11,0.24856007,((sr_atm + 0.47988662) * (shf + 1.017579)) + -0.39082533,0.013471686122756772
12,0.24808817,"(max(0.09458087, sr_atm) * 1.3172711) * (shf + 0.80915767)",0.001900339532116217
13,0.24586156,((sr_atm + 0.49612558) * abs(shf + 0.9722694)) + -0.34204066,0.009015593881281855
14,0.24467306,"(min(1.4488806, shf + 1.0084938) * (sr_atm + 0.74849606)) + -0.61670923",0.0048457428983042505
15,0.2436538,"(min(0.6944643, shf * sr_atm) * 1.6664207) + (sr_atm + 0.07783723)",0.004174505085289841
16,0.24183257,"((sr_atm + 0.7699034) * min(1.4550045, abs(shf + 0.9532172))) + -0.5528394",0.007502738102584234
19,0.24063624,"((max(sr_atm, neg(shf)) + 0.81091285) * (min(0.44621623, shf) + 1.014153)) + -0.70490676",0.0016530705226386578
21,0.24039596,"((min(0.4861864, shf) + 1.1058186) * ((max(sr_atm, neg(shf)) * 0.8943324) + 0.91176826)) + -0.8675469",0.000499509222010595
24,0.23979416,"(min(sr_atm, shf) + (max(sr_atm, neg(shf)) * min(1.2523446, shf + 0.98651695))) + 0.16812918",0.0008355028421820404
