complexity,loss,equation,score
1,0.9966985,0.6352166,0.0
2,0.8386489,rh,0.1726561724977744
4,0.6579877,rh * 1.974136,0.12130295318331626
6,0.6221037,exp(rh) - 0.6467923,0.028039719520672756
7,0.6002043,4.913626 ^ (rh - 0.56185484),0.03583670184095936
9,0.5696657,cube((thetae * 0.858101) - thetaestar),0.026110199855953448
11,0.5088998,cube(thetae - ((thetaestar - -0.13004339) * 1.4364755)),0.05639927847854005
13,0.5014482,cube((thetae - ((thetaestar * 1.4449992) - -0.3652552)) * 1.1899314),0.007375414326301981
14,0.4610346,"(max(rh, (thetae * 0.7071022) - thetaestar) - 0.6664363) * 5.4602675",0.08402721752743063
16,0.4429155,"cube(max(thetae - ((thetaestar * 1.468491) - -0.38356313), rh)) * 1.6138468",0.020047043740069662
18,0.44228297,"cube((max(rh, thetae - ((thetaestar * 1.4498636) - -0.35964876)) * 1.2380015) - 0.082182325)",0.000714563037661727
20,0.44095448,"cube((max(thetae - ((thetaestar * 1.4608155) - -0.36428365), rh) * 1.3197411) - 0.1894067) + 0.088662915",0.0015041153450208414
