complexity,loss,equation,score
1,0.44147792,sr_atm_eq,0.0
3,0.44133097,sr_atm_eq - 0.017046485,0.00016645731938344537
4,0.44040644,"max(sr_atm_eq, 0.07028697)",0.0020970650180663136
5,0.43555662,sr_atm_eq + (lf * -0.19637501),0.011073228488691723
6,0.42334533,sr_atm_eq - (lhf * -0.15567923),0.028436570357179138
8,0.40829915,sr_atm_eq - ((lf + -0.97011733) * shf),0.018094056222453695
10,0.39515585,sr_atm_eq - ((lf + -0.9483845) * (sr_atm_eq * shf)),0.016359936237374927
11,0.394512,neg(sr_atm_eq * (((lf + -0.9483845) * shf) - 0.97231686)),0.0016306859717633191
12,0.3880387,sr_atm_eq - (((lf + -0.89087117) * (shf + lf)) * sr_atm_eq),0.016544481156868348
14,0.38045025,"sr_atm_eq - ((lf + min(-0.87812006, lhf)) * (sr_atm_eq * shf))",0.009874828589248577
15,0.37968263,"neg(sr_atm_eq * (((lf + min(lhf, -0.87378395)) * shf) - 1.0133675))",0.0020197001896270416
16,0.37819034,"sr_atm_eq - ((lf + min(-0.8748944, lhf)) * ((sr_atm_eq - -0.24078993) * shf))",0.003938105692355645
17,0.37590498,"sr_atm_eq - ((lf + min(-0.7463297, lhf)) * min(sr_atm_eq, shf * 2.2080054))",0.006061215170220353
18,0.37445644,"sr_atm_eq + (0.08676411 - (((lf + min(-0.8717697, lhf)) * (sr_atm_eq - -0.33013928)) * shf))",0.003860917581317735
19,0.36498898,"(sr_atm_eq + 0.160382) - ((lf + min(-0.76425177, lhf)) * (min(sr_atm_eq, shf) * 2.2928488))",0.02560831975947885
