complexity,loss,equation,score
1,0.99821365,0.640487,0.0
2,0.84790426,rh,0.16319960308160228
4,0.6735455,rh * 1.94938,0.1151060886854704
6,0.63800997,exp(rh) + -0.6531991,0.027100820460918402
8,0.61585504,exp((rh - 0.56418395) * 1.5700009),0.017671149508469434
9,0.5627913,cube((thetae * 0.8627635) - thetaestar),0.09010274446642258
11,0.49361005,cube(thetae - ((thetaestar - -0.12835728) * 1.4523959)),0.06558151684939478
13,0.48449653,cube(thetae - ((thetaestar - -0.25844067) * 1.4533873)) * 1.7436473,0.009317781858658595
14,0.47524273,cube(((thetae * 0.733852) - thetaestar) - (rh * -0.2813157)),0.01928458524292836
15,0.46804962,"cube(max(rh, thetae - ((thetaestar * 1.4662505) - -0.2025761)))",0.015251368101189993
16,0.45665717,cube(thetae - ((thetaestar * 1.4874223) - -0.3034296)) + cube(rh),0.024641381620960287
17,0.44010833,"cube(max(rh, thetae - ((thetaestar * 1.4738914) - -0.3666439)) * 1.1615331)",0.03691203316299497
19,0.43847284,"cube((max(rh, thetae - ((thetaestar * 1.4672695) - -0.34104133)) * 1.2567801) + -0.12538147)",0.0018615148434378526
20,0.43089497,"cube(rh) + ((thetae - (thetaestar + max(lf, 0.49422327 - shf))) * 1.9879967)",0.01743350015591232
21,0.42853516,cube((thetae - ((thetaestar - -0.20403366) * 1.484222)) - (lhf * -0.07655806)) + cube(rh),0.00549158296437946
22,0.4025523,"cube(rh) + ((thetae - (thetaestar + max(lf, 0.5824915 - (lf + shf)))) * 2.2001374)",0.06254776204160793
24,0.39165694,"cube(rh) + ((thetae - ((thetaestar * 1.2332286) + max(lf, 0.6522265 - (lf + shf)))) * 2.21109)",0.013719361373197025
25,0.39160267,"cube(rh) + ((thetae - ((thetaestar / 0.81045103) + max(lf, 0.66716677 - (lf + shf)))) * 2.270561)",0.00013857474429676921
26,0.3896238,"cube(rh) + ((thetae - ((thetaestar * 1.2275561) + max(lf, 0.6526976 - (square(lf) + shf)))) * 2.2693594)",0.0050660706166757745
27,0.38652214,"cube(rh) + ((thetae - ((thetaestar * 1.2064137) + max(lf, ((lf * shf) - -0.67019933) - shf))) * 2.330364)",0.007992508499631297
29,0.3864364,"cube(rh) + ((thetae - ((thetaestar * 1.2377405) + max(lf, 0.7281508 - ((0.06126635 - (lf * shf)) + shf)))) * 2.288823)",0.00011092444926171443
30,0.38419363,"cube(max(rh, -0.5014634)) + ((thetae - ((thetaestar * 1.2274805) + max(lf, ((lf * shf) - -0.7026237) - shf))) * 2.4128945)",0.005820630509389972
