complexity,loss,equation,score
1,0.44149587,sr_atm,0.0
3,0.44133893,sr_atm + -0.01758154,0.00017776825477786647
4,0.44042495,"max(sr_atm, 0.07002789)",0.0020730727308291407
6,0.423373,sr_atm + (lhf * 0.15584558),0.019743234552103032
7,0.42251086,sr_atm * (1.1322002 ^ lhf),0.002038436573389746
8,0.4212078,sr_atm * ((lhf * 0.13681589) + 1.0101515),0.003088852002021211
9,0.40829915,sr_atm + ((0.9700831 - lf) * shf),0.031126182086106378
10,0.40316644,sr_atm + (shf * (0.00036096256 ^ lf)),0.01265063735474445
11,0.39448535,sr_atm * ((shf * (0.94242245 - lf)) + 0.9743369),0.021767475184339826
12,0.39334244,sr_atm * ((shf * (0.00024828166 ^ lf)) + 0.974337),0.00290142291572513
13,0.38323548,sr_atm * (((0.9086017 - lf) * (shf + 0.2316864)) + 0.86444896),0.026030950528810215
15,0.38220397,sr_atm * ((((shf + 0.21568745) * 1.1095669) * (0.9171277 - lf)) + 0.85507476),0.0013476057765529805
16,0.37907392,(sr_atm * 0.85827327) + ((0.00024828166 ^ lf) * ((shf + 0.15111987) * 2.108933)),0.008223193341524476
17,0.3789234,(sr_atm * 0.85253626) + ((shf + 0.19134259) * ((0.9199781 - lf) * (sr_atm - -0.475807))),0.0003971518051763579
18,0.37281343,(sr_atm * 0.84481406) + ((shf + 0.24313125) * ((0.9256566 - lf) * exp(rh))),0.01625596699666613
19,0.3693119,((exp(rh) * (shf + 0.21259698)) * (0.0018395153 ^ lf)) + (sr_atm * 0.8534509),0.009436562376479935
