complexity,loss,equation,score
1,0.9982127,0.6405613,0.0
2,0.8479174,rh,0.16318315446850923
4,0.67357004,rh * 1.9494519,0.11509562044149955
6,0.6380318,exp(rh) + -0.6530924,0.027101929570721578
8,0.6158724,exp(rh * 1.5701152) * 0.41265455,0.01767416307175598
9,0.5628226,cube((thetae * 0.8627792) - thetaestar),0.09007531842429137
11,0.49360588,cube((thetae - 0.1860521) - (thetaestar * 1.4515643)),0.06561354789753748
13,0.484518,cube(((thetae * 0.6881531) - thetaestar) - 0.2555475) * 5.2985697,0.009291401328232902
14,0.47654065,cube((thetae * 0.77779686) - thetaestar) + cube(rh),0.016601553339102362
15,0.46665144,"cube(max(rh, (thetae * 0.7082846) - thetaestar)) * 1.6614732",0.02097043117290927
16,0.45664507,cube((thetae - 0.3014661) - (thetaestar * 1.4873084)) + cube(rh),0.02167616076653082
17,0.44012743,"cube(max(rh, (thetae - (thetaestar * 1.4683551)) - 0.36201707)) * 1.5557481",0.03684213844622073
19,0.43897632,"cube(max(rh * 0.9370362, (thetae - 0.42151967) - (thetaestar * 1.4726856))) * 1.8736949",0.0013094138864544254
21,0.43843436,"cube((max(rh, (thetae - 0.34959555) - (thetaestar * 1.4729741)) * 0.6417606) - 0.058400482) * 7.49075",0.0006176811854223473
22,0.43156323,"(cube(max(rh, (thetae - (thetaestar * 1.4816561)) - 0.28508693)) * 0.35130528) * (rh + 3.0081785)",0.015796073344924184
25,0.43115833,"(cube(max(rh, (thetae - (thetaestar * 1.5805176)) - 0.30299634)) * 0.32661328) * ((thetaestar + rh) + 3.5522377)",0.0003128858320785608
26,0.43101114,"(cube(max(rh, (thetae - (thetaestar * 1.4939495)) - 0.28551725)) * 0.3915683) * (max(thetaestar, rh) + 2.6090238)",0.00034144099635059413
28,0.4308831,"(cube(max(rh, (thetae - 0.28551725) - (thetaestar * 1.4939495))) * 0.3915683) * (max(thetaestar * 1.4831443, rh) + 2.6090238)",0.0001485565107638824
30,0.43063405,"(cube(max(rh, (thetae - (thetaestar * 1.4939495)) - 0.28551725)) * 0.3915683) * (max(cube(thetaestar * 1.5790032), rh) + 2.6090238)",0.00028908305184367224
