complexity,loss,equation,score
1,0.9714457,0.6195339,0.0
2,0.8154577,rh,0.17503582360899886
4,0.64665616,rh * 1.9535193,0.11596741743139297
5,0.6466561,rh / 0.5118837,9.27850170886208e-08
6,0.6134365,exp(rh) + -0.6527576,0.05273786873804579
7,0.5914232,4.882515 ^ (rh + -0.56552255),0.036544918714329834
9,0.55518067,cube((thetae * 0.85569334) - thetaestar),0.03161912164656346
11,0.49530473,cube(thetae + (-0.1892434 - (thetaestar * 1.446906))),0.05706020149383123
13,0.48734355,cube((-0.453763 - (thetae * -1.2024045)) - (thetaestar * 1.7363833)),0.008101936731131375
14,0.47052586,"cube(max(rh, (-0.20799555 - (thetaestar * 1.4612595)) + thetae))",0.03511839553358727
15,0.4676578,cube(rh) - cube(neg((thetae * 0.7720924) - thetaestar)),0.006114088438713334
16,0.4416892,"cube(max(rh, (thetae + -0.37620425) - (thetaestar * 1.4721992))) * 1.5761381",0.05713036456312816
17,0.44165695,"cube(max(rh, thetae + (-0.3865858 - (thetaestar * 1.4700947))) / 0.85181224)",7.30178085098769e-05
18,0.4408899,"cube(max(rh, ((thetae + -0.44925523) - (thetaestar * 1.4771955)) * 1.0847828)) * 1.5520407",0.0017382650975208387
20,0.4378184,"(cube(rh) - neg(thetae)) - (max(shf * 1.495295, lf + -0.9783831) + thetaestar)",0.0034954859418278965
21,0.40864933,"(((cube(rh) - -0.62221235) - (max(shf, lf) * 1.8128953)) + lf) - (thetaestar - thetae)",0.06894680811308083
23,0.3913023,"(lf + ((cube(rh) - (thetae * -1.5411513)) - (max(shf, lf) * 1.8329678))) - (thetaestar * 1.864474)",0.021688498686886198
25,0.38459855,"((lf + (cube(rh) - ((thetae * -2.3108053) - -0.93422884))) - (max(shf, lf) * 1.8480322)) - (thetaestar * 2.901308)",0.008640172022706588
27,0.38206387,"(((cube(max(-0.41183367, rh)) - ((thetae * -2.2786) - -0.9315637)) - (max(shf, lf) * 1.802334)) - (thetaestar * 2.9176743)) + lf",0.003306134706749258
29,0.38164833,"((lf + (cube(max(-0.41183367, rh)) - ((thetae * -2.2786) - -0.9315637))) - (max(shf * 1.1091396, lf) * 1.802334)) - (thetaestar * 2.9176743)",0.0005441055426468696
